Desulfovibrio vulgaris subsp. vulgaris Postgate and Campbell (ATCC 29579),$402.00,$341.70,seqeunce available,NA,"NCIB 8303 [DSM 644, Hildenborough]",1,freeze-dried,ATCC  1249: Modified Baar's medium for sulfate reducers,"Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/29579.ashx
Acetobacterium tundrae Simankova et al. (ATCC BAA-996),$550.00,$467.50,NA,NA,Z-4493 [DSM 9173],1,freeze-dried,ATCC  2245: Thermoanaerobacterium medium,Temperature: 20-26Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-996.ashx
Nesiotobacter exalbescens Donachie et al. (ATCC BAA-994),$550.00,$467.50,NA,Nesiotobacter exalbescens,LA33B,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 30.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-994.ashx
Planifilum fulgidum (ATCC BAA-970),$550.00,$467.50,NA,Thermoactinomyces fulgidus,500275,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 65.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-970.ashx
Planifilum fimeticola (ATCC BAA-969),$550.00,$467.50,NA,Thermoactinomyces fimeticola,H0165,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 65.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-969.ashx
Methylohalobius crimeensis (ATCC BAA-967),$550.00,$467.50,NA,NA,10Ki [DSM 16011],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-967.ashx
Halomonas campaniensis Romano et al. (ATCC BAA-966),$550.00,$467.50,NA,NA,5AG [DSM 15293],1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 37.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-966.ashx
Halomonas alkaliphila Romano et al. (ATCC BAA-953),$550.00,$467.50,NA,Halomonas sp.,18b Ag,1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 37.0Celsius Atmosphere: aerobic,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-953.ashx
Salinivibrio costicola subsp. alcaliphilus Romano et al. 2005 (ATCC BAA-952),$550.00,$467.50,NA,Salinivibrio costicola subsp. costicola (Smith) Mellado et al. var. proteolytica,18AG [DSM 16359],1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 30.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-952.ashx
Thermus thermophilus (Oshima and Imahori) Williams et al. (ATCC BAA-951),$550.00,$467.50,NA,NA,Samu-Sa1 [DSM 15284],1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 65.0Celsius Atmosphere: aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-951.ashx
Thiobacter subterraneus (ATCC BAA-941),$550.00,$467.50,NA,NA,C55,1,frozen,ATCC  2672: Modified Wolfe's Mineral,Temperature: 45.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-941.ashx
Sulfurospirillum carboxydovorans (ATCC BAA-937),$550.00,$467.50,NA,NA,MV [DSM 16295],1,freeze-dried,ATCC  2478: Sulfurospirillum carboxydovorans MV medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-937.ashx
Calderomonas acidophila (ATCC BAA-936),$550.00,$467.50,NA,NA,Pd55,1,freeze-dried,Calderomonas acidophila,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 50.0Celsius",NA,NA,NA,Oxidizes hydrogenReduces sulfur,https://www.atcc.org/~/ps/BAA-936.ashx
Methanocorpusculum sinense Zellner et al. (ATCC BAA-933),$550.00,$467.50,NA,NA,"OCM 128 [China Z, DSM 4274]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 30.0Celsius",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-933.ashx
Methanolobus vulcani Stetter et al. emend. Kadam and Boone (ATCC BAA-932),$550.00,$467.50,NA,NA,"OCM 157 [DSM 3029, PL-12/M]",1,frozen,ATCC  2469: MSH,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-932.ashx
Methanosarcina siciliae (Stetter and Konig) Ni et al. emend. Elberson and Sowers (ATCC BAA-931),$550.00,$467.50,NA,NA,"OCM 156 [DSM 3028, T4/M]",1,frozen,ATCC  2469: MSH,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-931.ashx
Methanobacterium ivanovii Jain et al. (ATCC BAA-930),$550.00,$467.50,NA,NA,"OCM 140 [DSM 2611, VKM B-1634]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-930.ashx
Methanocorpusculum bavaricum Zellner et al. (ATCC BAA-929),$550.00,$467.50,NA,NA,"OCM 127 [DSM 4179, SZSXXZ]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Atmosphere: Anaerobic -hydrogen (H2), 80%; carbon dioxide (CO2), 20%
Temperature: 37.0Celsius",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-929.ashx
Methanolobus oregonensis (Liu et al.) Boone (ATCC BAA-928),$550.00,$467.50,NA,NA,"OCM 99 [DSM 5435, OGI 99, WAL1]",1,frozen,Methanohalophilus oregonese,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-928.ashx
