,match,0
30710587,0,ATCC 25923 
30710587,1,ATCC 6633 
30710587,2,ATCC 27853 
30709817,0,ATCC 51142 
30709817,1,ATCC 51142 
30709515,0,ATCC 20542 
30709347,0,ATCC 19115 
30709347,1,ATCC 19115 
30706116,0,ATCC 9790 
30706083,0,ATCC 31159 
30706083,1,ATCC 31159 
30706083,2,ATCC  
30705678,0,ATCC 25923 
30705678,1,ATCC infection 
30705678,2,ATCC strain 
30700643,0,ATCC 10556 
30698294,0,ATCC 6535 
30698294,1,ATCC 29212 
30698294,2,ATCC 27853 
30698294,3,ATCC 10231 
30698294,4,ATCC 16404 
30697888,0,ATCC  
30696919,0,ATCC strains 
30696852,0,ATCC 53544 
30696852,1,ATCC 393 
30696852,2,ATCC 23272 
30693434,0,ATCC 35690 
30693434,1,ATCC 35690 
30693434,2,ATCC 35690 
30693434,3,ATCC 51666 
30693434,4,ATCC 35690 
30692877,0,ATCC 19433 
30692800,0,ATCC Staphylococcus 
30690740,0,ATCC 33277 
30688647,0,ATCC 29999 
30688647,1,ATCC 29999 
30688429,0,ATCC 29213 
30687829,0,ATCC 25940 
30687273,0,ATCC 13032 
30686832,0,ATCC 25923 
30685665,0,ATCC  
30683741,0,ATCC 15696 
30682768,0,ATCC  
30682768,1,ATCC 27853 
30682527,0,ATCC 29213 
30680703,0,ATCC 700072 
30673850,0,ATCC 14580 
30672036,0,ATCC strain 
30671346,0,ATCC 53653 
30671332,0,ATCC 27294 
30671332,1,ATCC 27294 
30670428,0,ATCC 19977 
30670428,1,ATCC 35752 
30670428,2,ATCC 700686 
30669666,0,ATCC 11842 
30669643,0,ATCC 10231 
30666850,0,ATCC 53103 
30666554,0,ATCC 10987 
30666554,1,ATCC 10987 
30666237,0,ATCC 17978 
30665066,0,ATCC 7644 
30665066,1,ATCC 7644 
30665032,0,ATCC 6538 
30663928,0,ATCC 8483 
30663566,0,ATCC 12600 
30663135,0,ATCC 9245 
30662642,0,ATCC  
30660829,0,ATCC 10231 
30660829,1,ATCC 10231 
30660829,2,ATCC 10261 
30660693,0,ATCC 8014 
30659529,0,ATCC  
30659529,1,ATCC  
30658972,0,ATCC 824 
30655682,0,ATCC 6940 
30652964,0,ATCC 8503 
30649327,0,ATCC 700898 
30648938,0,ATCC 14018 
30646760,0,ATCC 7466 
30646760,1,ATCC 25922 
30646760,2,ATCC 29523 
30646760,3,ATCC 27853 
30646760,4,ATCC 8357 
30646410,0,ATCC 6538 
30645731,0,ATCC 20624 
30645731,1,ATCC 20624 
30644702,0,ATCC 49619 
30643872,0,ATCC 23724 
30643404,0,ATCC 27853 
30643404,1,ATCC 25922 
30643404,2,ATCC 25923 
30642939,0,ATCC 17978 
30642939,1,ATCC 17978 
30642938,0,ATCC reference 
30639916,0,ATCC 204508 
30639916,1,ATCC 204508 
30637638,0,ATCC 25923 
30637638,1,ATCC 25922 
30637637,0,ATCC 43890 
30636952,0,ATCC 14035 
30636598,0,ATCC 25922 
30636598,1,ATCC 27853 
30636598,2,ATCC 6633 
30636598,3,ATCC 43300 
30636598,4,ATCC 12228 
30636598,5,ATCC 35984 
30636598,6,ATCC 10231 
33405859,0,ATCC 6538 
33405859,1,ATCC 76615 
30630106,0,ATCC 19997 
30630106,1,ATCC 19997 
30629753,0,ATCC 33277 
30629172,0,ATCC 13076 
30627519,0,ATCC 25175 
30627519,1,ATCC 33478 
30622712,0,ATCC 25922 
30622566,0,ATCC 25175 
30622566,1,ATCC 10556 
30621590,0,ATCC 27853 
30621590,1,ATCC 29213 
30621066,0,ATCC 25923 
30620744,0,ATCC 23716 
30619867,0,ATCC 10708 
30619867,1,ATCC 25922 
30619867,2,ATCC 11775 
30619781,0,ATCC 14028 
30619184,0,ATCC 17978 
30618298,0,ATCC 25175 
30618287,0,ATCC 29213 
30612544,0,ATCC 64550 
30612544,1,ATCC 22019 
30607721,0,ATCC 27853 
30607721,1,ATCC 27853 
30606591,0,ATCC 25923 
30606591,1,ATCC 1228 
30605828,0,ATCC 824 
30602287,0,ATCC 29213 
30602287,1,ATCC 25922 
30602287,2,ATCC 14053 
30601977,0,ATCC 14028S 
30600713,0,ATCC  
30600713,1,ATCC strains 
30598684,0,ATCC 25922 
30598684,1,ATCC 12600 
30597314,0,ATCC 7966 
32214484,0,ATCC 27294 
30594606,0,ATCC 43504 
30594375,0,ATCC 53013 
30592890,0,ATCC 25922 
30592890,1,ATCC 6538 
30589194,0,ATCC 31442 
30589011,0,ATCC  
30587886,0,ATCC 25922 
30587491,0,ATCC 14580 
30587160,0,ATCC 9027 
30586327,0,ATCC 14028 
30586327,1,ATCC 8326 
30586327,2,ATCC 4931 
30583595,0,ATCC strains 
30583595,1,ATCC 25923 
30583595,2,ATCC 29213 
30583595,3,ATCC 43300 
30583502,0,ATCC 14917 
30580440,0,ATCC  
30578836,0,ATCC 17978 
30578836,1,ATCC 1797 
30578771,0,ATCC bacterial 
30577728,0,ATCC 25175 
30577535,0,ATCC 17453 
30573467,0,ATCC 27140 
30572157,0,ATCC 29213 
30570767,0,ATCC  
30570767,1,ATCC 19115 
30570767,2,ATCC 10231 
30565024,0,ATCC 51230 
30564222,0,ATCC 25922 
30564222,1,ATCC 26112 
30564210,0,ATCC 9689 
30564023,0,ATCC 11778 
30564023,1,ATCC 49444 
30564023,2,ATCC 29212 
30564023,3,ATCC 19114 
30564023,4,ATCC 25922 
30564023,5,ATCC 14028 
30564023,6,ATCC 27853 
30563326,0,ATCC 6538 
30563220,0,ATCC 11632 
30563220,1,ATCC 10876 
30563220,2,ATCC 10536 
30563220,3,ATCC 10145 
30563220,4,ATCC 10231 
30563220,5,ATCC 700677 
30563220,6,ATCC 700221 
30563220,7,ATCC 33592 
30563220,8,ATCC 10876 
30563220,9,ATCC 10231 
30563030,0,ATCC 23769 
30562884,0,ATCC 13032 
30561174,0,ATCC 25922 
30561174,1,ATCC 700603 
30561174,2,ATCC 19606 
30561174,3,ATCC 27853 
30561174,4,ATCC 43300 
30560823,0,ATCC 33591 
30560823,1,ATCC 12228 
30557703,0,ATCC 25922 
30554282,0,ATCC 27310 
30553964,0,ATCC 23767 
30553947,0,ATCC 53993 
30553947,1,ATCC 53993 
30553947,2,ATCC 53993 
30553366,0,ATCC 10 
30552795,0,ATCC 11861 
30550229,0,ATCC 6940 
30550229,1,ATCC 700207 
30550229,2,ATCC 6940 
30550229,3,ATCC 700207 
30547746,0,ATCC 27768 
30546218,0,ATCC 35550 
30542331,0,ATCC 13637 
30524390,0,ATCC 43555 
30523603,0,ATCC 27853 
30523603,1,ATCC 43300 
30540240,0,ATCC 8244 
30539008,0,ATCC 25923 
30539008,1,ATCC 29212 
30538980,0,ATCC 25923 
30538974,0,ATCC 6538 
30538974,1,ATCC 29212 
30538974,2,ATCC 27853 
30538974,3,ATCC 700603 
30538767,0,ATCC 6538 
30538459,0,ATCC 25923 
30538459,1,ATCC 14593 
30538459,2,ATCC 25922 
30538459,3,ATCC 13883 
30537187,0,ATCC 13368 
30534167,0,ATCC 51299 
30533933,0,ATCC 49767 
30533884,0,ATCC 39048 
30533882,0,ATCC 42981 
30533837,0,ATCC 33551 
30533823,0,ATCC 43158 
30533823,1,ATCC 49615 
30533771,0,ATCC 25923 
30533771,1,ATCC 25923 
30533753,0,ATCC 13525 
30533671,0,ATCC 49234 
30533638,0,ATCC 15676 
30533610,0,ATCC 33403 
30532218,0,ATCC 16436 
30531680,0,ATCC  
30529189,0,ATCC 19660 
30526054,0,ATCC 13565 
30521563,0,ATCC 19608 
30520191,0,ATCC 8014 
30520191,1,ATCC 8014 
30519218,0,ATCC  
30519218,1,ATCC  
30519218,2,ATCC  
30518069,0,ATCC 2001 
30518022,0,ATCC 15700 
30508628,0,ATCC 35185 
30517644,0,ATCC 27543 
30515419,0,ATCC 49025 
30513877,0,ATCC 15697 
30512925,0,ATCC 12600 
30512233,0,ATCC 53504 
30504002,0,ATCC 12980 
30499272,0,ATCC 13869 
30499272,1,ATCC 13032 
30499272,2,ATCC 13869 
30499272,3,ATCC 13032 
30499014,0,ATCC and 
30498972,0,ATCC 13032 
32454684,0,ATCC 25923 
32454665,0,ATCC 25922 
32454665,1,ATCC 29212 
32454665,2,ATCC 27853 
32454665,3,ATCC 29213 
32454665,4,ATCC 90028 
32454665,5,ATCC 6258 
32454665,6,ATCC 90018 
30486494,0,ATCC 13884 
30486494,1,ATCC 13884 
30486494,2,ATCC 13884 
30486494,3,ATCC 13884 
30486494,4,ATCC 13884 
30486331,0,ATCC 6538 
30486303,0,ATCC 25922 
30486303,1,ATCC 6538 
30486303,2,ATCC 1911 
30486303,3,ATCC 6633 
30484463,0,ATCC  
30483998,0,ATCC 25923 
30483998,1,ATCC 25923 
30483437,0,ATCC  
30481065,0,ATCC  
30477147,0,ATCC 25177 
30477147,1,ATCC 35737 
30476044,0,ATCC 14053 
30476044,1,ATCC 22019 
30476044,2,ATCC 14053 
30476044,3,ATCC 22019 
30476044,4,ATCC 14053 
30476044,5,ATCC 22019 
30473514,0,ATCC 6633 
30473514,1,ATCC 12228 
30473514,2,ATCC 8739 
30473514,3,ATCC 27853 
30468354,0,ATCC  
30468318,0,ATCC 824 
30465833,0,ATCC 8739 
30465831,0,ATCC 15703 
30465831,1,ATCC 15703 
30465645,0,ATCC 9723 
30465135,0,ATCC 13273 
30463326,0,ATCC 13048 
30459193,0,ATCC 43816 
30458255,0,ATCC 25619 
30458240,0,ATCC 21543 
30457516,0,ATCC 33669 
30457516,1,ATCC 33669 
30457514,0,ATCC 35703 
30456749,0,ATCC 14931 
30456272,0,ATCC 15305 
30456006,0,ATCC 27064 
30455672,0,ATCC 29149 
30453525,0,ATCC 22019 
30451652,0,ATCC 25923 
30451652,1,ATCC 25923 
30448894,0,ATCC 43200 
30447380,0,ATCC 25922 
30445836,0,ATCC 96901 
30445836,1,ATCC 96901 
30439400,0,ATCC strain 
30431711,0,ATCC 13565 
30430852,0,ATCC 33277 
30424764,0,ATCC 35668 
30424527,0,ATCC  
30423858,0,ATCC strains 
30423413,0,ATCC 25923 
30423346,0,ATCC 35640 
30423343,0,ATCC 17978 
30423343,1,ATCC 17978 
30420330,0,ATCC 13869 
30416716,0,ATCC 25923 
30416716,1,ATCC 27853 
30414245,0,ATCC 51277 
30413044,0,ATCC was 
30409938,0,ATCC 29212 
30408530,0,ATCC 29213 
30407111,0,ATCC 19660 
30406042,0,ATCC 29213 
30406042,1,ATCC 700699 
30405728,0,ATCC 29212 
30404135,0,ATCC 21783 
30402120,0,ATCC 25923 
30401943,0,ATCC 14028 
30401452,0,ATCC 4356 
30400606,0,ATCC  
30397909,0,ATCC 33277 
30395485,0,ATCC 13311 
30395485,1,ATCC 25931 
30393851,0,ATCC 35218 
30393851,1,ATCC 43300 
30393851,2,ATCC 10231 
30392156,0,ATCC 6538p 
30392156,1,ATCC 1110 
30392156,2,ATCC 12228 
30392156,3,ATCC 8739 
30392156,4,ATCC 10031 
30392156,5,ATCC 9027 
30391161,0,ATCC 17453 
30391161,1,ATCC 17453 
30391161,2,ATCC 17453 
30386929,0,ATCC 35849 
30386929,1,ATCC 35072 
30386755,0,ATCC 51741 
30386755,1,ATCC 25922 
30386619,0,ATCC 25922 
30385392,0,ATCC 17903 
30385392,1,ATCC 17978 
30385277,0,ATCC 11454 
30382618,0,ATCC 25923 
30380756,0,ATCC 25922 
30380603,0,ATCC 25922 
30380603,1,ATCC 27853 
30373804,0,ATCC 19606 
30373804,1,ATCC 19606 
30373794,0,ATCC 33591 
30373794,1,ATCC 29213 
30373794,2,ATCC 33591 
30373794,3,ATCC 29213 
30373794,4,ATCC 33591 
30373754,0,ATCC 35405 
30373376,0,ATCC  
30371779,0,ATCC 53608 
30368581,0,ATCC 13273 
30366862,0,ATCC 49619 
30360747,0,ATCC 6258 
30360622,0,ATCC 25922 
30360622,1,ATCC 19115 
30358064,0,ATCC 90028 
30357676,0,ATCC 51142 
30357676,1,ATCC 51142 
30357676,2,ATCC 51142 
30356384,0,ATCC 29212 
30356383,0,ATCC 33277 
30356383,1,ATCC 25586 
30356383,2,ATCC 25611 
30356383,3,ATCC 33277 
30356383,4,ATCC 25586 
30356383,5,ATCC by 
30356383,6,ATCC 33277 
30356383,7,ATCC 25611 
30356383,8,ATCC 25586 
30356383,9,ATCC 33277 
30356383,10,ATCC 25611 
30356383,11,ATCC 25586 
30353740,0,ATCC 393 
30352804,0,ATCC 7966 
30352435,0,ATCC 27853 
30352435,1,ATCC 25923 
30351265,0,ATCC 19977 
30351260,0,ATCC 27751 
30349251,0,ATCC 49619 
30344715,0,ATCC glioma 
30343741,0,ATCC 7469 
30342347,0,ATCC 43889 
30341793,0,ATCC 50386 
30341079,0,ATCC 70061 
30341079,1,ATCC 35105 
30341076,0,ATCC 13869 
30341076,1,ATCC 13869 
30341076,2,ATCC 13869 
30339223,0,ATCC  
30339223,1,ATCC  
30338533,0,ATCC 35984 
30338060,0,ATCC 15442 
30336560,0,ATCC 15701 
30333370,0,ATCC 35405 
30329046,0,ATCC 25922 
30326263,0,ATCC 10792 
30326263,1,ATCC 10792 
30324923,0,ATCC 29212 
30323791,0,ATCC 13314 
30323791,1,ATCC 29213 
30323791,2,ATCC 12228 
30322037,0,ATCC 29212 
30322037,1,ATCC 29213 
30319846,0,ATCC 53103 
30318737,0,ATCC 19606 
30317865,0,ATCC 6538 
30317865,1,ATCC 14990 
30317865,2,ATCC 29212 
30317865,3,ATCC 1915 
30317865,4,ATCC 8739 
30317865,5,ATCC 27853 
30317865,6,ATCC 7966 
30317865,7,ATCC 10005 
30317865,8,ATCC 13883 
30317865,9,ATCC 10231 
30315257,0,ATCC 19615 
30315257,1,ATCC 6919 
30315257,2,ATCC 49619 
30311876,0,ATCC 35752 
30311172,0,ATCC 4698 
30311126,0,ATCC 27294 
30309544,0,ATCC 42476 
30309544,1,ATCC 6275 
30305996,0,ATCC 27294 
30304991,0,ATCC 7966 
30304123,0,ATCC 29212 
30301647,0,ATCC  
30301647,1,ATCC MRSA 
30301647,2,ATCC E 
30301647,3,ATCC S 
30301647,4,ATCC MRSA 
30298236,0,ATCC strains 
30298209,0,ATCC  
30297913,0,ATCC 27592 
30297913,1,ATCC 27592 
30296637,0,ATCC 17802 
30296637,1,ATCC 14028 
30296637,2,ATCC 14028 
30296637,3,ATCC 14028 
30295039,0,ATCC 25923 
30295039,1,ATCC 43300 
30295039,2,ATCC 12228 
30295039,3,ATCC 27853 
30295039,4,ATCC 25922 
30293114,0,ATCC 25922 
30288618,0,ATCC 25922 
30288618,1,ATCC 27584 
30288618,2,ATCC 8427 
30288618,3,ATCC 14028 
30288618,4,ATCC 29213 
30285923,0,ATCC 29212 
30285910,0,ATCC 8486 
30284644,0,ATCC 8739 
30284644,1,ATCC 8739 
30284644,2,ATCC 8739 
30284644,3,ATCC 8739 
30284644,4,ATCC 8739 
30281293,0,ATCC 29737 
30281293,1,ATCC 6633 
30281293,2,ATCC 10240 
30281293,3,ATCC K88 
30281293,4,ATCC 10031 
30281293,5,ATCC 6633 
30279359,0,ATCC 25923 
30279359,1,ATCC 15442 
30278277,0,ATCC 29212 
30277310,0,ATCC 19606 
30275963,0,ATCC 1015 
30275799,0,ATCC 8739 
30274224,0,ATCC 2794 
30274224,1,ATCC 25177 
30274224,2,ATCC 12478 
30274224,3,ATCC 25291 
30274224,4,ATCC 700084 
30274224,5,ATCC 25177 
30273671,0,ATCC 9689 
30273671,1,ATCC 14579 
30271979,0,ATCC 13368 
30271149,0,ATCC 27853 
30271149,1,ATCC 25923 
30271149,2,ATCC 10231 
30269860,0,ATCC 15 
30269860,1,ATCC 15 
30266730,0,ATCC 7966 
31999628,0,ATCC bacterial 
30265691,0,ATCC SD5219 
30264296,0,ATCC 9027 
30263666,0,ATCC  
30262284,0,ATCC 29213 
30262284,1,ATCC 25922 
30262284,2,ATCC 27853 
30262284,3,ATCC 29212 
30253311,0,ATCC 53608 
30251112,0,ATCC 700870 
30251112,1,ATCC 700870 
30251112,2,ATCC 700870 
30251112,3,ATCC 700870 
30251112,4,ATCC 700870 
30246356,0,ATCC 29212 
30246356,1,ATCC 47077 
30246356,2,ATCC 29212 
30246356,3,ATCC 47077 
30246146,0,ATCC 1015 
30245707,0,ATCC 25923 
30245707,1,ATCC 25922 
30244012,0,ATCC 29213 
30244012,1,ATCC 25923 
30244012,2,ATCC 27853 
30244012,3,ATCC 25922 
30242257,0,ATCC 29833 
30242257,1,ATCC 29833 
30242257,2,ATCC 29833 
30240033,0,ATCC 55730 
30240033,1,ATCC 53608 
30240033,2,ATCC 55730 
30240033,3,ATCC 53608 
30240033,4,ATCC 55730 
30237791,0,ATCC 50370 
30237791,1,ATCC 50370 
30237621,0,ATCC cell 
30236955,0,ATCC 43300 
30236687,0,ATCC 6633 
30236687,1,ATCC 25922 
30236687,2,ATCC 6633 
30236620,0,ATCC 27294 
30232886,0,ATCC 13883 
30232886,1,ATCC 13883 
30232886,2,ATCC 13883 
30231956,0,ATCC 25291 
30231956,1,ATCC 13950 
30231956,2,ATCC 25291 
30231956,3,ATCC 13950 
30231479,0,ATCC 25177 
30231470,0,ATCC 19606 
30230926,0,ATCC 15313 
30230926,1,ATCC 14579 
30229513,0,ATCC 25923 
30229513,1,ATCC 43300 
30229513,2,ATCC 43300 
30228803,0,ATCC 8739 
30228803,1,ATCC 13932 
30228424,0,ATCC 49138 
30228029,0,ATCC 27853 
30228029,1,ATCC 27853 
30227228,0,ATCC 750 
30227206,0,ATCC 43300 
30226464,0,ATCC 33323 
30226464,1,ATCC 33323 
30226464,2,ATCC 33323 
30224437,0,ATCC 12204 
30223435,0,ATCC 7644 
30223435,1,ATCC 10231 
30223435,2,ATCC 27857 
30223435,3,ATCC 25922 
30221219,0,ATCC 23877 
30220831,0,ATCC with 
30220440,0,ATCC 21756 
30219392,0,ATCC 25175 
30219392,1,ATCC 13419 
30219392,2,ATCC 6249 
30219391,0,ATCC 25922 
30219391,1,ATCC 12692 
30218696,0,ATCC 27853 
30218229,0,ATCC strains 
30218038,0,ATCC 8099 
30218038,1,ATCC 6633 
30218038,2,ATCC 6538 
30217789,0,ATCC  
30217789,1,ATCC 51663 
30217789,2,ATCC 25923 
30217789,3,ATCC 12228 
30217789,4,ATCC 9533 
30217197,0,ATCC 13032 
30215128,0,ATCC 9950 
30214255,0,ATCC strains 
30214255,1,ATCC strains 
30214175,0,ATCC 27558 
30210478,0,ATCC 43037 
30210478,1,ATCC 43037 
30210478,2,ATCC 43037 
30209616,0,ATCC 8739 
30207253,0,ATCC 30236 
30205309,0,ATCC 16404 
30205309,1,ATCC 10231 
30205309,2,ATCC 9643 
30204806,0,ATCC 29133 
30204584,0,ATCC 33209 
30204584,1,ATCC 33209 
30203187,0,ATCC 19111 
30203187,1,ATCC 19111 
30201852,0,ATCC and 
30201852,1,ATCC  
30201590,0,ATCC 15947 
30201590,1,ATCC 15947 
30201590,2,ATCC 15497 
30201590,3,ATCC 15947 
30200996,0,ATCC  
30200996,1,ATCC as 
30199923,0,ATCC 28338 
30198100,0,ATCC 4356 
30198100,1,ATCC 4356 
30197871,0,ATCC 25923 
30197871,1,ATCC 25922 
30197871,2,ATCC 6633 
30197871,3,ATCC 10231 
30197862,0,ATCC 9029 
30197128,0,ATCC 6538 
30197128,1,ATCC 11775 
30197128,2,ATCC 10145 
30197128,3,ATCC 2001 
30197128,4,ATCC 43300 
30197128,5,ATCC 25923 
30194098,0,ATCC 27064 
30193147,0,ATCC 6538 
30193147,1,ATCC 43895 
30189606,0,ATCC 13076 
30189606,1,ATCC 19114 
30189320,0,ATCC 25611 
30189320,1,ATCC 33563 
30188999,0,ATCC 27853 
30188999,1,ATCC 13047 
30187618,0,ATCC 29212 
30187618,1,ATCC 43504 
30187508,0,ATCC 27853 
30187508,1,ATCC 25923 
30187508,2,ATCC 27853 
30183037,0,ATCC 53013 
30182770,0,ATCC  
30182770,1,ATCC  
30182770,2,ATCC  
30182255,0,ATCC 38844 
30182122,0,ATCC 12600 
30182122,1,ATCC 8739 
30182122,2,ATCC 12600 
30182122,3,ATCC 8739 
30177424,0,ATCC 25923 
30177424,1,ATCC 12228 
30176942,0,ATCC PTA 
30175025,0,ATCC 9950 
30174025,0,ATCC 25922 
30174025,1,ATCC 29213 
30173853,0,ATCC 19410 
30173753,0,ATCC  
30173753,1,ATCC  
30173753,2,ATCC  
30173753,3,ATCC  
30173753,4,ATCC  
30172246,0,ATCC  
30171981,0,ATCC 27853 
30171981,1,ATCC 6633 
30168313,0,ATCC 27551 
30166921,0,ATCC 13311 
30166840,0,ATCC 29212 
30166840,1,ATCC 29212 
30166840,2,ATCC 29212 
30166840,3,ATCC 29212 
30166840,4,ATCC 29212 
30166152,0,ATCC 13150 
30166138,0,ATCC 19117 
30165087,0,ATCC reference 
30152286,0,ATCC 29212 
30152286,1,ATCC 29212 
30150092,0,ATCC 15708 
30142222,0,ATCC strains 
30138723,0,ATCC 51756 
30137434,0,ATCC  
30137434,1,ATCC LVS 
30136170,0,ATCC 27405 
30134562,0,ATCC 25923 
30134562,1,ATCC 6538 
30129919,0,ATCC 27380 
30129919,1,ATCC 27380 
30129919,2,ATCC 27380 
30129919,3,ATCC 27380 
30129919,4,ATCC 27380 
30129919,5,ATCC 27380 
30129919,6,ATCC 27380 
30129510,0,ATCC 3568 
30126956,0,ATCC 204304 
30124967,0,ATCC 33199 
30124967,1,ATCC 33199 
30124967,2,ATCC 33199 
30124902,0,ATCC 17978 
30122124,0,ATCC 13869 
30118242,0,ATCC  
30116728,0,ATCC 29213 
30114602,0,ATCC 19061 
30112385,0,ATCC 9179 
30112385,1,ATCC 46283 
30112155,0,ATCC 39392 
30112155,1,ATCC 25922 
30112155,2,ATCC 25416 
30110795,0,ATCC 25922 
30108999,0,ATCC 25177 
30108976,0,ATCC strains 
30108976,1,ATCC and 
30108909,0,ATCC 6538 
30108909,1,ATCC 35984 
30108909,2,ATCC 9027 
30108909,3,ATCC and 
30107969,0,ATCC and 
30105884,0,ATCC E 
30105884,1,ATCC E 
30104447,0,ATCC 29213 
30104447,1,ATCC 12435 
30104447,2,ATCC 51503 
30103446,0,ATCC 700721 
30103446,1,ATCC 700721 
30103446,2,ATCC 700721 
30100900,0,ATCC 29212 
30100900,1,ATCC 29212 
30100762,0,ATCC 10231 
30096872,0,ATCC reference 
30096205,0,ATCC 15769 
30095422,0,ATCC 25922 
30095422,1,ATCC 27853 
30095422,2,ATCC 29213 
30095025,0,ATCC 25922 
30095025,1,ATCC 27853 
30095025,2,ATCC 43300 
30095025,3,ATCC 25922 
30095025,4,ATCC 43300 
30095025,5,ATCC 27853 
30095025,6,ATCC 27853 
30093894,0,ATCC 6633 
30091042,0,ATCC 25923 
30091042,1,ATCC 25923 
30090117,0,ATCC 33384 
30088346,0,ATCC 74012 
30087309,0,ATCC 29213 
30086321,0,ATCC 29413 
30086200,0,ATCC 53103 
30086200,1,ATCC 53103 
30085427,0,ATCC 15987 
30083848,0,ATCC 18534 
30083200,0,ATCC 29212 
30081790,0,ATCC  
30081568,0,ATCC 25923 
30081514,0,ATCC 824 
30078526,0,ATCC  
30076425,0,ATCC 824 
30075450,0,ATCC 12633 
30075077,0,ATCC 25795 
30074855,0,ATCC 13482 
30074257,0,ATCC 10876 
30073131,0,ATCC 8014 
30073131,1,ATCC 53103 
30073131,2,ATCC 8014 
30073131,3,ATCC 53103 
30071228,0,ATCC 12228 
30067146,0,ATCC 19585 
30067146,1,ATCC 19585 
30067146,2,ATCC 19585 
30066955,0,ATCC 43895 
30065907,0,ATCC 25421 
30065907,1,ATCC 25421 
30065907,2,ATCC 25421 
30061293,0,ATCC 25922 
30060991,0,ATCC reference 
30058185,0,ATCC 25923 
30058185,1,ATCC 43300 
30058185,2,ATCC 25922 
30058185,3,ATCC 14028 
30057443,0,ATCC 14018 
30057443,1,ATCC 14018 
30056554,0,ATCC 39006 
30055567,0,ATCC 393 
30053697,0,ATCC 14579 
30053603,0,ATCC  
30053603,1,ATCC  
30053603,2,ATCC  
30053603,3,ATCC  
30053603,4,ATCC  
30053603,5,ATCC  
30053603,6,ATCC  
30053603,7,ATCC  
30053603,8,ATCC  
30053603,9,ATCC  
30053603,10,ATCC  
30053113,0,ATCC 25922 
30050519,0,ATCC 49782 
30048488,0,ATCC 10987 
30048488,1,ATCC 14579 
30046488,0,ATCC 29213 
30046488,1,ATCC 25922 
30046488,2,ATCC 27853 
30046488,3,ATCC 29212 
30046488,4,ATCC bacterial 
30046488,5,ATCC 29213 
30044468,0,ATCC strain 
30044173,0,ATCC 27853 
30044173,1,ATCC 25922 
30044173,2,ATCC 25923 
30043322,0,ATCC 19606 
30042591,0,ATCC 14459 
30042591,1,ATCC 25922 
30042553,0,ATCC 25922 
30042553,1,ATCC 13311 
30041003,0,ATCC 29213 
30040860,0,ATCC 33277 
30040860,1,ATCC 33277 
30040860,2,ATCC 33277 
30040860,3,ATCC 33277 
30040860,4,ATCC 33277 
30038879,0,ATCC 8739 
30038879,1,ATCC 65389 
30037042,0,ATCC 17978 
30037038,0,ATCC 8293 
30036981,0,ATCC 31280 
30036981,1,ATCC 31280 
30036240,0,ATCC 55730 
30034381,0,ATCC 33591 
30034318,0,ATCC 27853 
30034318,1,ATCC 27853 
30033344,0,ATCC reference 
30033344,1,ATCC 27 
30033344,2,ATCC 27 
30033238,0,ATCC CRL 
30031480,0,ATCC 27952 
30031480,1,ATCC 27952 
30030636,0,ATCC 35984 
30030636,1,ATCC 27853 
30029513,0,ATCC  
30029513,1,ATCC  
30029475,0,ATCC 9341 
30028932,0,ATCC 6538 
30028928,0,ATCC 25175 
30028284,0,ATCC 12472 
30028051,0,ATCC strain 
30027423,0,ATCC 25175 
30024592,0,ATCC 33270 
30024592,1,ATCC 33270 
30024592,2,ATCC 33270 
30024592,3,ATCC 33270 
30024267,0,ATCC strain 
30023908,0,ATCC 6538 
30023908,1,ATCC 13384 
30023544,0,ATCC 43300 
30022596,0,ATCC 26695 
30021591,0,ATCC  
30018423,0,ATCC 34529 
30013274,0,ATCC 27853 
30013274,1,ATCC 25922 
30013274,2,ATCC 25923 
30012999,0,ATCC 25923 
30012762,0,ATCC 17616 
30012762,1,ATCC 17616 
30012762,2,ATCC 17616 
30012491,0,ATCC 25922 
30007727,0,ATCC 14028 
30007709,0,ATCC 35150 
30007709,1,ATCC 43387 
30007709,2,ATCC 9027 
30007709,3,ATCC 29212 
30007709,4,ATCC 14053 
30007245,0,ATCC 25922 
30006155,0,ATCC 29212 
30006155,1,ATCC 25923 
30006155,2,ATCC 12228 
30006155,3,ATCC 27851 
30006155,4,ATCC 25922 
30006155,5,ATCC 15290 
30006155,6,ATCC 4352 
30006155,7,ATCC 27853 
30001594,0,ATCC 31924 
30001594,1,ATCC 31924 
30001594,2,ATCC 31924 
29998807,0,ATCC 25923 
29998807,1,ATCC 25922 
29998807,2,ATCC 25922 
29998807,3,ATCC 25923 
29998731,0,ATCC 8293 
29998731,1,ATCC 8293 
29998731,2,ATCC 8293 
29998731,3,ATCC 8293 
29998591,0,ATCC 25923 
29997433,0,ATCC HTB4TM 
29997433,1,ATCC HTB2TM 
29996552,0,ATCC 25923 
29996552,1,ATCC 25922 
29996552,2,ATCC 700603 
29996552,3,ATCC 27853 
29996532,0,ATCC 53993 
29996532,1,ATCC 23270 
29996532,2,ATCC 53993 
29996532,3,ATCC 23270 
29996532,4,ATCC 53993 
29996532,5,ATCC 53993 
29991908,0,ATCC 25922 
29991908,1,ATCC 25923 
29991908,2,ATCC 10231 
29991908,3,ATCC 9533 
29990641,0,ATCC 18804 
29990641,1,ATCC 7073 
29987383,0,ATCC 824 
29987383,1,ATCC 824 
29986180,0,ATCC 27294 
29984236,0,ATCC 25923 
29984236,1,ATCC 13883 
