,match,0
33394203,0,ATCC 10231 
33391230,0,ATCC 53103 
33391222,0,ATCC 824 
33391222,1,ATCC 824 
33390165,0,ATCC 25923 
33389853,0,ATCC derived 
33389853,1,ATCC 27853 
33389853,2,ATCC 10231 
33389853,3,ATCC  
33389106,0,ATCC 39116 
33385804,0,ATCC 6538 
33385804,1,ATCC 6538 
33385804,2,ATCC 6538 
33385077,0,ATCC 6538 
33385077,1,ATCC 10231 
33383849,0,ATCC 10231 
33383833,0,ATCC 17100 
33383767,0,ATCC 27853 
33383767,1,ATCC 200955 
33383767,2,ATCC 6258 
33383082,0,ATCC 14579 
33381566,0,ATCC 25922 
33381566,1,ATCC 29213 
33381566,2,ATCC 27853 
33381566,3,ATCC 29213 
33381566,4,ATCC 25922 
33381566,5,ATCC 27853 
33381566,6,ATCC 29213 
33381566,7,ATCC 29213 
33378153,0,ATCC 35984 
33378153,1,ATCC 15597 
33378153,2,ATCC 10231 
33376830,0,ATCC 10876 
33376830,1,ATCC 6633 
33376830,2,ATCC 51299 
33376830,3,ATCC 25922 
33376830,4,ATCC 19115 
33376830,5,ATCC 27853 
33376830,6,ATCC 14028 
33376830,7,ATCC 25923 
33376830,8,ATCC 25175 
33375417,0,ATCC 25923 
33375417,1,ATCC 6538 
33375417,2,ATCC 15442 
33375417,3,ATCC 25923 
33375415,0,ATCC strains 
33372826,0,ATCC 17978 
33372254,0,ATCC  
33371249,0,ATCC 53789 
33368874,0,ATCC 27255 
33361318,0,ATCC 700388 
33361318,1,ATCC 31532 
33361305,0,ATCC 700721 
33361305,1,ATCC 700721 
33360527,0,ATCC 18968 
33360527,1,ATCC 1382 
33357906,0,ATCC 25923 
33355891,0,ATCC 25923 
33352922,0,ATCC 6538 
33352922,1,ATCC 25923 
33352922,2,ATCC 8739 
33352922,3,ATCC 25922 
33352922,4,ATCC 10231 
33352900,0,ATCC 25922 
33352215,0,ATCC 12472 
33346056,0,ATCC 6633 
33345976,0,ATCC 13076 
33344648,0,ATCC  
33343677,0,ATCC  
33343517,0,ATCC 13525 
33343517,1,ATCC 13525 
33338480,0,ATCC 14028 
33329595,0,ATCC 19606 
33329458,0,ATCC 25923 
33328205,0,ATCC strains 
33327854,0,ATCC strain 
33325738,0,ATCC 25923 
33325738,1,ATCC 43400 
33324837,0,ATCC 25975 
33324354,0,ATCC 33913 
33324354,1,ATCC  
33323677,0,ATCC 53582 
33322355,0,ATCC 27154 
33322295,0,ATCC 393 
33321906,0,ATCC and 
33321822,0,ATCC 10536 
33321822,1,ATCC 6538 
33321703,0,ATCC 25922 
33321703,1,ATCC 1402 
33321703,2,ATCC 9610 
33321703,3,ATCC 27588 
33321703,4,ATCC 6538 
33321703,5,ATCC 29212 
33321703,6,ATCC 14579 
33320761,0,ATCC 17666 
33320528,0,ATCC 12600 
33318621,0,ATCC 29213 
33317620,0,ATCC 1015 
33314357,0,ATCC 93111 
33314357,1,ATCC 14028 
33314357,2,ATCC 43300 
33314357,3,ATCC 33018 
33307052,0,ATCC 11778 
33307052,1,ATCC 14028 
33304162,0,ATCC 10536 
33304162,1,ATCC 13076 
33304162,2,ATCC 29903 
33304162,3,ATCC 8459 
33302391,0,ATCC 64063 
33301858,0,ATCC 14028s 
33301683,0,ATCC 14579 
33299009,0,ATCC 12228 
33299009,1,ATCC 12228 
33296391,0,ATCC 29213 
33296391,1,ATCC 29212 
33296391,2,ATCC 25922 
33296391,3,ATCC 27853 
33292938,0,ATCC 43890 
33292490,0,ATCC 43889 
33292490,1,ATCC 43889 
33292490,2,ATCC 43889 
33292124,0,ATCC 25177 
33292110,0,ATCC type 
33292110,1,ATCC 43300 
33287303,0,ATCC 25922 
33285163,0,ATCC 14126 
33283901,0,ATCC 25922 
33283901,1,ATCC 27853 
33283901,2,ATCC 27923 
33282766,0,ATCC 25175 
33282766,1,ATCC 25175 
33282763,0,ATCC 29212 
33282749,0,ATCC 43816 
33282294,0,ATCC 33277 
33280882,0,ATCC and 
33278975,0,ATCC 6538 
33278975,1,ATCC 8099 
33278519,0,ATCC 25175 
33278519,1,ATCC 25175 
33278464,0,ATCC 8293 
33276599,0,ATCC 23463 
33276599,1,ATCC 49512 
33276599,2,ATCC 23463 
33276599,3,ATCC 49512 
33268776,0,ATCC 33591 
33266305,0,ATCC 25922 
33266127,0,ATCC 35150 
33266127,1,ATCC 25923 
33266127,2,ATCC 35150 
33266127,3,ATCC 51776 
33266127,4,ATCC 25923 
33263509,0,ATCC 17748 
33261593,0,ATCC 90028 
33261593,1,ATCC 7073 
33255319,0,ATCC 19606 
33255319,1,ATCC 19606 
33255319,2,ATCC 19606 
33255180,0,ATCC 14480 
33255180,1,ATCC 9930 
33254968,0,ATCC 10231 
33247749,0,ATCC 25923 
33246623,0,ATCC 25922 
33246623,1,ATCC 25923 
33245641,0,ATCC 25922 
33240599,0,ATCC 25175 
33235705,0,ATCC 9027 
33235705,1,ATCC 10536 
33235705,2,ATCC 29212 
33235705,3,ATCC 33591 
33233581,0,ATCC 7644 
33233581,1,ATCC 25922 
33233386,0,ATCC 25922 
33233348,0,ATCC  
33233112,0,ATCC 25212 
33233112,1,ATCC 25923 
33226935,0,ATCC 15697 
33223806,0,ATCC 6538 
33223806,1,ATCC 10231 
33221857,0,ATCC 6538 
33214290,0,ATCC 51748 
33206342,0,ATCC 33323 
33203750,0,ATCC 33787 
33203170,0,ATCC 29213 
33203170,1,ATCC 12228 
33202368,0,ATCC 6538 
33202368,1,ATCC 10541 
33202368,2,ATCC 10536 
33202368,3,ATCC 15442 
33201995,0,ATCC 19606T 
33200278,0,ATCC TSD201 
33198949,0,ATCC 27294 
33197108,0,ATCC 51191 
33197108,1,ATCC 51191 
33194715,0,ATCC 43504 
33193143,0,ATCC 8014 
33193117,0,ATCC 4356 
33191234,0,ATCC H37Rv 
33191110,0,ATCC 10 
33191110,1,ATCC 10 
33190958,0,ATCC 29213 
33188636,0,ATCC 25922 
33188636,1,ATCC 14028 
33188636,2,ATCC 12022 
33188636,3,ATCC 25923 
33188636,4,ATCC 25923 
33188509,0,ATCC 25755 
33183194,0,ATCC 25923 
33183194,1,ATCC 25922 
33183194,2,ATCC 27853 
33183194,3,ATCC 25923 
33183194,4,ATCC 27853 
33182584,0,ATCC  
33182474,0,ATCC  
33182474,1,ATCC  
33179011,0,ATCC 27853 
33178676,0,ATCC 13032 
