product,ID
ATCC 13315 ,4
ATCC 13326 ,1
ATCC 13333 ,1
ATCC 13337 ,1
ATCC 13338 ,1
ATCC 13368 ,12
ATCC 13382 ,1
ATCC 13384 ,1
ATCC 13419 ,7
ATCC 13423 ,1
ATCC 13482 ,2
ATCC 13524 ,1
ATCC 13524T ,1
ATCC 13525 ,15
ATCC 13534 ,3
ATCC 13541 ,1
ATCC 13564 ,2
ATCC 13565 ,8
ATCC 13578 ,1
ATCC 13618 ,1
ATCC 13636 ,1
ATCC 13637 ,6
ATCC 13673 ,2
ATCC 13706 ,5
ATCC 13709 ,1
ATCC 13725T ,1
ATCC 13756 ,1
ATCC 13758 ,1
ATCC 13768 ,1
ATCC 13803 ,4
ATCC 13813 ,5
ATCC 1382 ,1
ATCC 13838 ,2
ATCC 13867 ,3
ATCC 13869 ,11
ATCC 13880 ,10
ATCC 13881 ,3
ATCC 138821 ,1
ATCC 13883 ,40
ATCC 13884 ,2
ATCC 13932 ,9
ATCC 13950 ,10
ATCC 13950T ,1
ATCC 13951 ,1
ATCC 13985 ,1
ATCC 14 ,1
ATCC 14018 ,6
ATCC 14019 ,3
ATCC 1402 ,3
ATCC 14028 ,116
ATCC 14028S ,1
ATCC 14028s ,7
ATCC 14033 ,2
ATCC 14035 ,5
ATCC 14041 ,1
ATCC 14046 ,1
ATCC 14048 ,4
ATCC 14053 ,14
ATCC 14067 ,6
ATCC 14116 ,2
ATCC 14126 ,1
ATCC 14153 ,2
ATCC 14162 ,1
ATCC 14181 ,1
ATCC 14201 ,1
ATCC 14207 ,1
ATCC 14208 ,1
ATCC 14213 ,1
ATCC 14243 ,1
ATCC 14245 ,1
ATCC 14271 ,2
ATCC 14272 ,1
ATCC 14365 ,1
ATCC 14393 ,1
ATCC 14405 ,1
ATCC 1441 ,2
ATCC 14452 ,1
ATCC 14458 ,4
ATCC 14459 ,1
ATCC 14468 ,4
ATCC 14470 ,1
ATCC 14479 ,1
ATCC 14480 ,2
ATCC 14482 ,3
ATCC 14501 ,2
ATCC 14503 ,1
ATCC 14506 ,2
ATCC 14511 ,1
ATCC 14574 ,2
ATCC 14576 ,2
ATCC 14577 ,1
ATCC 14579 ,105
ATCC 14580 ,21
ATCC 14581 ,5
ATCC 14583 ,1
ATCC 14593 ,2
ATCC 14683 ,2
ATCC 14687 ,2
ATCC 14700 ,1
ATCC 14706 ,1
ATCC 14755 ,1
ATCC 14756 ,8
ATCC 14820 ,1
ATCC 14827 ,1
ATCC 14849 ,1
ATCC 14869 ,6
ATCC 14890 ,1
ATCC 14891 ,1
ATCC 14909 ,3
ATCC 14917 ,21
ATCC 14917T ,2
ATCC 14921 ,1
ATCC 14931 ,2
ATCC 14948 ,2
ATCC 14975 ,1
ATCC 14990 ,14
ATCC 14990T ,1
ATCC 14997 ,1
ATCC 15 ,2
ATCC 15008 ,1
ATCC 15009 ,2
ATCC 15126 ,1
ATCC 15150 ,1
ATCC 15151 ,5
ATCC 15155 ,2
ATCC 15173 ,1
ATCC 15175 ,2
ATCC 15227 ,1
ATCC 15236 ,1
ATCC 15244 ,1
ATCC 15245 ,3
ATCC 15253 ,1
ATCC 15253T ,4
ATCC 15257 ,2
ATCC 15257T ,1
ATCC 15260 ,3
ATCC 15260T ,1
ATCC 15262 ,1
ATCC 15264 ,1
ATCC 15290 ,3
ATCC 15300 ,1
ATCC 15305 ,10
ATCC 15308 ,1
ATCC 15309 ,2
ATCC 15313 ,20
ATCC 15333 ,1
ATCC 15380 ,2
ATCC 15381 ,2
ATCC 15420 ,1
ATCC 15439 ,11
ATCC 15442 ,45
ATCC 15444 ,1
ATCC 15449 ,1
ATCC 15468 ,2
ATCC 15475 ,1
ATCC 15481 ,1
ATCC 15482T ,1
ATCC 15483 ,1
ATCC 15494 ,1
ATCC 15497 ,1
ATCC 155 ,1
ATCC 15517 ,1
ATCC 15521 ,7
ATCC 15545 ,1
ATCC 15551 ,1
ATCC 15563 ,1
ATCC 15564 ,1
ATCC 15597 ,4
ATCC 15625 ,1
ATCC 15668 ,2
ATCC 15672 ,1
ATCC 15676 ,1
ATCC 15692 ,7
ATCC 15696 ,2
ATCC 15697 ,36
ATCC 15698 ,1
ATCC 15700 ,8
ATCC 15701 ,1
ATCC 15703 ,12
ATCC 15707 ,9
ATCC 15708 ,4
ATCC 15710 ,1
ATCC 15713 ,3
ATCC 15728 ,1
ATCC 15729 ,1
ATCC 1573 ,1
ATCC 15742 ,1
ATCC 15746 ,1
ATCC 15749 ,1
ATCC 15753 ,1
ATCC 15768 ,1
ATCC 15769 ,2
ATCC 15791 ,1
ATCC 15808 ,1
ATCC 15820 ,2
ATCC 15824 ,1
ATCC 15829 ,1
ATCC 15834 ,27
ATCC 15912 ,2
ATCC 15912T ,1
ATCC 15947 ,2
ATCC 15952 ,2
ATCC 15955 ,1
ATCC 15981 ,1
ATCC 15987 ,1
ATCC 16021 ,1
ATCC 16022 ,1
ATCC 16023 ,1
ATCC 16024 ,1
ATCC 16259 ,1
ATCC 16266 ,1
ATCC 1627 ,1
ATCC 16330 ,1
ATCC 16345 ,3
ATCC 16404 ,28
ATCC 16424 ,1
ATCC 16436 ,1
ATCC 16529 ,1
ATCC 1663 ,1
ATCC 16664 ,1
ATCC 16872 ,1
ATCC 1688 ,1
ATCC 16888 ,2
ATCC 16958 ,1
ATCC 17001 ,3
ATCC 17001T ,1
ATCC 17005 ,1
ATCC 17015 ,1
ATCC 17023 ,1
ATCC 1705 ,1
ATCC 17082 ,1
ATCC 17100 ,1
ATCC 17400 ,4
ATCC 17423 ,1
ATCC 17453 ,7
ATCC 17483 ,3
ATCC 17484 ,2
ATCC 17505 ,1
ATCC 17514 ,1
ATCC 1754 ,1
ATCC 17556 ,1
ATCC 17587 ,1
ATCC 17588 ,4
ATCC 17616 ,13
ATCC 17666 ,1
ATCC 17697 ,2
ATCC 17699 ,4
ATCC 17713 ,1
ATCC 17748 ,2
ATCC 17749 ,7
ATCC 17759 ,4
ATCC 17787 ,1
ATCC 17802 ,13
ATCC 17895 ,2
ATCC 17903 ,4
ATCC 17905 ,1
ATCC 17906 ,1
ATCC 17908 ,1
ATCC 17909 ,1
ATCC 17930 ,1
ATCC 17933 ,3
ATCC 17961 ,1
ATCC 1797 ,1
ATCC 17978 ,121
ATCC 18 ,1
ATCC 18224 ,1
ATCC 183 ,1
ATCC 18364 ,1
ATCC 18419 ,1
ATCC 18500 ,1
ATCC 18534 ,1
ATCC 186 ,2
ATCC 18616 ,1
ATCC 18687 ,1
ATCC 1870 ,1
ATCC 18737 ,1
ATCC 18804 ,25
ATCC 18942 ,2
ATCC 18968 ,1
ATCC 19 ,2
ATCC 190 ,1
ATCC 19015 ,1
ATCC 19039 ,2
ATCC 19041 ,1
ATCC 19061 ,3
ATCC 19072 ,1
ATCC 19095 ,5
ATCC 19105 ,2
ATCC 19106 ,1
ATCC 19109 ,2
ATCC 1911 ,2
ATCC 19111 ,19
ATCC 19112 ,7
ATCC 19114 ,6
ATCC 19115 ,31
ATCC 19116 ,6
ATCC 19117 ,3
ATCC 19119 ,5
ATCC 19146 ,4
ATCC 1915 ,1
ATCC 19154 ,1
ATCC 19162 ,1
ATCC 19166 ,3
ATCC 19172 ,1
ATCC 19208 ,1
ATCC 19213 ,1
ATCC 19214 ,1
ATCC 19235 ,1
ATCC 19237 ,1
ATCC 19246 ,1
ATCC 19247 ,3
ATCC 19250 ,1
ATCC 19254 ,3
ATCC 19255 ,1
ATCC 19256 ,1
ATCC 19257 ,4
ATCC 19258 ,3
ATCC 19264 ,1
ATCC 19296 ,1
ATCC 19310 ,1
ATCC 19312 ,1
ATCC 19358 ,3
ATCC 19367 ,3
ATCC 19374 ,3
ATCC 19377 ,5
ATCC 19379 ,1
ATCC 19392 ,1
ATCC 19395T ,1
ATCC 19397 ,5
ATCC 19398T ,1
ATCC 194 ,1
ATCC 19401 ,1
ATCC 19410 ,5
ATCC 19410T ,1
ATCC 19411 ,3
ATCC 19414 ,3
ATCC 19417 ,1
ATCC 19420 ,2
ATCC 19424 ,1
ATCC 19430 ,8
ATCC 19432 ,1
ATCC 19433 ,19
ATCC 19434 ,6
ATCC 19435 ,5
ATCC 19443 ,4
ATCC 19542 ,1
ATCC 19544 ,1
ATCC 19570 ,2
ATCC 19582 ,2
ATCC 19585 ,8
ATCC 19586 ,1
ATCC 19606 ,123
ATCC 19606R ,2
ATCC 19606T ,6
ATCC 19608 ,1
ATCC 19609 ,6
ATCC 19615 ,10
ATCC 19642 ,1
ATCC 19645 ,1
ATCC 19659 ,5
ATCC 19660 ,7
ATCC 19665 ,1
ATCC 19698 ,7
ATCC 19703 ,1
ATCC 19706 ,2
ATCC 19707 ,2
ATCC 19718 ,9
ATCC 19724 ,1
ATCC 19725 ,1
ATCC 19795 ,1
ATCC 19797 ,1
ATCC 19815 ,1
ATCC 19860 ,4
ATCC 19861 ,2
ATCC 19865 ,1
ATCC 19867 ,2
ATCC 19977 ,23
ATCC 19977T ,2
ATCC 19997 ,1
ATCC 1d3637 ,1
ATCC 200062 ,1
ATCC 2001 ,15
ATCC 200175 ,1
ATCC 200183 ,3
ATCC 2002 ,1
ATCC 200269 ,1
ATCC 200800 ,2
ATCC 200801 ,1
ATCC 200918 ,1
ATCC 200951 ,1
ATCC 200955 ,3
ATCC 200956 ,1
ATCC 201110 ,1
ATCC 201126 ,2
ATCC 201249 ,1
ATCC 201253 ,3
ATCC 20129 ,1
ATCC 20165 ,1
ATCC 20170 ,1
ATCC 20191 ,1
ATCC 201935 ,2
ATCC 202152 ,1
ATCC 202155 ,1
ATCC 20216 ,1
ATCC 202165 ,1
ATCC 202195 ,1
ATCC 20235 ,5
ATCC 20336 ,2
ATCC 20344 ,1
ATCC 2035 ,1
ATCC 20362 ,1
ATCC 20367 ,1
ATCC 204 ,1
ATCC 204091 ,1
ATCC 204094 ,2
ATCC 204304 ,4
ATCC 204305 ,4
ATCC 204307 ,1
ATCC 204447 ,2
ATCC 204508 ,3
ATCC 20460 ,1
ATCC 20490 ,1
ATCC 20505 ,1
ATCC 20509 ,8
ATCC 20524 ,3
ATCC 20542 ,14
ATCC 20602 ,1
ATCC 20611 ,6
ATCC 20624 ,2
ATCC 20696 ,2
ATCC 20852 ,1
ATCC 20868 ,1
ATCC 20869 ,2
ATCC 20888 ,1
ATCC 2091 ,5
ATCC 209P ,1
ATCC 209p ,3
ATCC 21022 ,7
ATCC 21028 ,2
ATCC 2106 ,2
ATCC 2107 ,1
ATCC 21074 ,2
ATCC 21113 ,1
ATCC 21175 ,1
ATCC 21198 ,3
ATCC 21216 ,1
ATCC 21245 ,2
ATCC 21293 ,3
ATCC 21294 ,1
ATCC 21300 ,2
ATCC 21332 ,6
ATCC 21341 ,1
ATCC 21399 ,1
ATCC 21400 ,2
ATCC 21415 ,1
ATCC 21417 ,1
ATCC 21420 ,2
ATCC 21424 ,2
ATCC 21432 ,1
ATCC 21433 ,1
ATCC 21530 ,1
ATCC 21543 ,1
ATCC 21588 ,5
ATCC 21633 ,1
ATCC 21756 ,3
ATCC 21756T ,3
ATCC 21783 ,2
ATCC 21792 ,1
ATCC 21799 ,1
ATCC 21830 ,1
ATCC 21831 ,3
ATCC 21834 ,1
ATCC 2185 ,1
ATCC 21850 ,1
ATCC 21884 ,1
ATCC 21929 ,2
ATCC 21951 ,1
ATCC 2201 ,1
ATCC 22019 ,38
ATCC 22027 ,1
ATCC 22108 ,1
ATCC 221633 ,1
ATCC 22214 ,9
ATCC 2223 ,1
ATCC 22546 ,2
ATCC 22652 ,1
ATCC 2266 ,1
ATCC 2290 ,1
ATCC 22922 ,1
ATCC 22984 ,3
ATCC 23055 ,2
ATCC 23064 ,1
ATCC 23074 ,1
ATCC 23119 ,1
ATCC 23177 ,3
ATCC 23178 ,1
ATCC 23194 ,1
ATCC 23229 ,1
ATCC 23235 ,1
ATCC 23246 ,6
ATCC 23270 ,32
ATCC 23271 ,1
ATCC 23272 ,8
ATCC 23290 ,1
ATCC 23291 ,1
ATCC 23292 ,2
ATCC 23308 ,3
ATCC 23309 ,1
ATCC 23328T ,1
ATCC 23330T ,1
ATCC 23343 ,1
ATCC 23344 ,17
ATCC 23350 ,1
ATCC 23355 ,4
ATCC 23357 ,3
ATCC 23366 ,1
ATCC 23389 ,1
ATCC 23445 ,1
ATCC 2345 ,1
ATCC 23456 ,1
ATCC 23457 ,2
ATCC 23459 ,1
ATCC 23463 ,1
ATCC 23502 ,1
ATCC 23506 ,1
ATCC 23529 ,1
ATCC 23545 ,1
ATCC 23555 ,1
ATCC 23557 ,1
ATCC 23564 ,4
ATCC 23581 ,1
ATCC 23591 ,1
ATCC 23623 ,1
ATCC 23631 ,2
ATCC 2366 ,1
ATCC 23715 ,2
ATCC 23716 ,4
ATCC 23724 ,1
ATCC 23726 ,6
ATCC 23729 ,1
ATCC 23739 ,3
ATCC 23745 ,1
ATCC 23767 ,2
ATCC 23769 ,16
ATCC 23770 ,4
ATCC 23779 ,2
ATCC 23826 ,1
ATCC 23834 ,2
ATCC 23835 ,1
ATCC 23853 ,1
ATCC 23857 ,2
ATCC 23877 ,5
ATCC 23880 ,1
ATCC 23905 ,1
ATCC 23935 ,2
ATCC 23970 ,1
ATCC 24008 ,1
ATCC 24065 ,1
ATCC 24066 ,1
ATCC 24067 ,5
ATCC 24067A ,1
ATCC 24169 ,2
ATCC 24202 ,2
ATCC 24210 ,1
ATCC 24212 ,1
ATCC 24213 ,1
ATCC 24230 ,1
ATCC 24433 ,11
ATCC 24443 ,1
ATCC 24725 ,2
ATCC 24843 ,1
ATCC 24858 ,1
ATCC 24859 ,1
ATCC 2486 ,1
ATCC 24860 ,1
ATCC 25 ,15
ATCC 25015 ,1
ATCC 25016 ,1
ATCC 25017 ,3
ATCC 25080 ,1
ATCC 25081 ,1
ATCC 25097 ,1
ATCC 25174 ,1
ATCC 25175 ,87
ATCC 25177 ,21
ATCC 251922 ,1
ATCC 25196 ,6
ATCC 25201T ,1
ATCC 25212 ,1
ATCC 25213 ,1
ATCC 25238 ,1
ATCC 25240 ,1
ATCC 25241 ,4
ATCC 25242T ,1
ATCC 25243T ,1
ATCC 25253 ,4
ATCC 25259 ,1
ATCC 2527 ,2
ATCC 25275 ,2
ATCC 25285 ,15
ATCC 25286 ,4
ATCC 25291 ,5
ATCC 25293 ,2
ATCC 25294 ,1
ATCC 25295 ,1
ATCC 25296 ,2
ATCC 25302 ,3
ATCC 25309 ,1
ATCC 25312 ,1
ATCC 25322 ,1
ATCC 25324 ,1
ATCC 25416 ,6
ATCC 25417 ,1
ATCC 25421 ,1
ATCC 25435 ,1
ATCC 25452 ,1
ATCC 25466 ,1
ATCC 25498 ,1
ATCC 25522 ,1
ATCC 25523 ,1
ATCC 25526 ,1
ATCC 25527 ,3
ATCC 25536 ,1
ATCC 25548 ,2
ATCC 25549 ,1
ATCC 25557 ,1
ATCC 25566 ,2
ATCC 25578 ,1
ATCC 25586 ,35
ATCC 25594 ,2
ATCC 25598 ,1
ATCC 25602 ,2
ATCC 25611 ,19
ATCC 25618 ,3
ATCC 25619 ,5
ATCC 25620 ,1
ATCC 25644 ,3
ATCC 25668 ,2
ATCC 25729 ,1
ATCC 25745 ,3
ATCC 25752 ,1
ATCC 25755 ,13
ATCC 25755T ,2
ATCC 25757 ,1
ATCC 25775 ,2
ATCC 25779 ,1
ATCC 25780 ,1
ATCC 25791 ,1
ATCC 25795 ,6
ATCC 25825 ,1
ATCC 25845 ,1
ATCC 25852 ,1
ATCC 25853 ,1
ATCC 25875 ,1
ATCC 25877 ,1
ATCC 25904 ,1
ATCC 25911 ,1
ATCC 25912 ,2
ATCC 25913 ,1
ATCC 25919 ,1
ATCC 2592 ,2
ATCC 25920 ,1
ATCC 25921 ,1
ATCC 25922 ,679
ATCC 25923 ,578
ATCC 259231 ,1
ATCC 25925 ,2
ATCC 25926 ,1
ATCC 2593 ,1
ATCC 25931 ,5
ATCC 25933 ,6
ATCC 25934 ,2
ATCC 25938 ,1
ATCC 25940 ,3
ATCC 25944 ,1
ATCC 25945 ,1
ATCC 25946 ,1
ATCC 25954 ,1
ATCC 25955 ,2
ATCC 25972 ,2
ATCC 25975 ,4
ATCC 25983 ,1
ATCC 25986 ,2
ATCC 2599 ,1
ATCC 25992 ,2
ATCC 26 ,1
ATCC 26011 ,1
ATCC 26012 ,1
ATCC 26037 ,1
ATCC 26112 ,1
ATCC 26185 ,3
ATCC 2623 ,1
ATCC 26269 ,1
ATCC 2628 ,1
ATCC 26548 ,1
ATCC 26555 ,2
ATCC 26601 ,1
ATCC 26602 ,2
ATCC 26609 ,1
ATCC 26695 ,8
ATCC 26786 ,1
ATCC 26853 ,1
ATCC 26921 ,3
ATCC 26933 ,1
ATCC 27 ,4
ATCC 27010T ,1
ATCC 27012 ,2
ATCC 27013 ,1
ATCC 27021 ,1
ATCC 27028 ,1
ATCC 27029 ,5
ATCC 27039 ,1
ATCC 27043 ,1
ATCC 27044 ,1
ATCC 27061 ,1
ATCC 27064 ,20
ATCC 27074 ,1
ATCC 27087 ,1
ATCC 27090 ,2
ATCC 27092 ,3
ATCC 27094 ,1
ATCC 27102T ,1
ATCC 27123 ,1
ATCC 27126 ,6
ATCC 27137 ,1
ATCC 27139 ,5
ATCC 27140 ,1
ATCC 27141 ,1
ATCC 27142 ,1
ATCC 27154 ,1
ATCC 27164 ,1
ATCC 27164T ,1
ATCC 27184 ,1
ATCC 27199 ,1
ATCC 27204 ,1
ATCC 27217 ,1
ATCC 27249 ,1
ATCC 27255 ,2
ATCC 27255T ,1
ATCC 27294 ,65
ATCC 27297T ,1
ATCC 27299 ,1
ATCC 27305 ,1
ATCC 27310 ,1
ATCC 27312 ,1
ATCC 27325 ,1
ATCC 27336 ,1
ATCC 27340 ,2
ATCC 27340T ,1
ATCC 27348 ,1
ATCC 27351 ,1
ATCC 27352 ,1
ATCC 27353 ,1
ATCC 27364 ,1
ATCC 27364T ,1
ATCC 27374 ,2
ATCC 27380 ,1
ATCC 274 ,2
ATCC 27405 ,24
ATCC 27414 ,3
ATCC 27427 ,1
ATCC 27448 ,1
ATCC 27449 ,1
ATCC 27456 ,1
ATCC 27511 ,1
ATCC 27533T ,1
ATCC 27534 ,1
ATCC 27535 ,1
ATCC 27536 ,2
ATCC 27539 ,1
ATCC 27543 ,1
ATCC 27551 ,8
ATCC 27553 ,2
ATCC 27558 ,1
ATCC 27562 ,6
ATCC 27583 ,4
ATCC 27584 ,1
ATCC 27588 ,2
ATCC 27592 ,4
ATCC 27603 ,1
ATCC 27607 ,2
ATCC 27609 ,1
ATCC 27618 ,1
ATCC 27634 ,1
ATCC 27651T ,1
ATCC 27664 ,1
ATCC 27673 ,1
ATCC 27708 ,1
ATCC 27725 ,1
ATCC 27729 ,1
ATCC 27736 ,2
ATCC 27749T ,1
ATCC 27751 ,1
ATCC 27755 ,1
ATCC 27756 ,2
ATCC 27758 ,2
ATCC 27766 ,2
ATCC 27768 ,2
ATCC 27768T ,1
ATCC 27773 ,1
ATCC 27774 ,9
ATCC 27775T ,1
ATCC 27780 ,1
ATCC 27781 ,1
ATCC 27782 ,3
ATCC 27783 ,1
ATCC 27796 ,1
ATCC 27799 ,1
ATCC 27803 ,2
ATCC 27806 ,1
ATCC 27824 ,1
ATCC 27832 ,1
ATCC 27833 ,3
ATCC 27844 ,1
ATCC 2785 ,1
ATCC 27851 ,4
ATCC 27853 ,322
ATCC 27856 ,1
ATCC 27857 ,1
ATCC 27858 ,1
ATCC 27859 ,1
ATCC 27872 ,2
ATCC 27886 ,2
ATCC 27886T ,1
ATCC 27893 ,3
ATCC 27923 ,1
ATCC 27924 ,1
ATCC 27932 ,2
ATCC 2794 ,2
ATCC 27945 ,1
ATCC 27950 ,1
ATCC 27952 ,16
ATCC 27953 ,1
ATCC 27956 ,2
ATCC 27968 ,1
ATCC 27969 ,3
ATCC 27983 ,1
ATCC 27989 ,2
ATCC 28185 ,3
ATCC 28188 ,5
ATCC 28189 ,2
ATCC 28209 ,1
ATCC 28326 ,1
ATCC 28338 ,1
ATCC 28344 ,1
ATCC 28366 ,1
ATCC 28367 ,1
ATCC 2853 ,1
ATCC 28707 ,2
ATCC 289065 ,2
ATCC 28942 ,2
ATCC 28957 ,1
ATCC 28988 ,1
ATCC 29 ,7
ATCC 29004 ,4
ATCC 29007 ,4
ATCC 29033 ,1
ATCC 29050 ,1
ATCC 29059 ,2
ATCC 29065 ,1
ATCC 29123 ,2
ATCC 2913 ,1
ATCC 29133 ,27
ATCC 29133S ,1
ATCC 29143 ,1
ATCC 29148 ,2
ATCC 29149 ,9
ATCC 29149T ,1
ATCC 29173 ,1
ATCC 29174 ,2
ATCC 29176 ,2
ATCC 29178 ,3
ATCC 29191 ,4
ATCC 29192 ,1
ATCC 29195 ,3
ATCC 292 ,1
ATCC 29201 ,1
ATCC 29212 ,245
